iter	Passed	Remaining
0	146	146342
1	157	78424
2	165	54857
3	170	42575
4	176	35052
5	181	30053
6	186	26451
7	191	23769
8	196	21655
9	201	19992
10	206	18587
11	211	17431
12	216	16449
13	221	15628
14	226	14894
15	231	14249
16	237	13707
17	241	13188
18	246	12722
19	251	12324
20	256	11935
21	260	11594
22	265	11278
23	270	10999
24	275	10739
25	279	10488
26	285	10281
27	291	10106
28	295	9908
29	300	9731
30	305	9562
31	310	9394
32	315	9235
33	319	9087
34	324	8955
35	329	8816
36	334	8704
37	339	8589
38	343	8471
39	348	8367
40	353	8270
41	358	8169
42	363	8081
43	367	7991
44	372	7910
45	377	7836
46	383	7782
47	388	7706
48	392	7624
49	399	7581
50	405	7541
51	410	7484
52	415	7419
53	420	7364
54	424	7299
55	431	7276
56	437	7233
57	442	7181
58	447	7129
59	451	7079
60	456	7028
61	461	6985
62	466	6937
63	470	6888
64	475	6845
65	480	6801
66	485	6758
67	489	6711
68	494	6677
69	500	6643
70	504	6601
71	509	6569
72	515	6541
73	520	6515
74	526	6489
75	532	6471
76	537	6442
77	543	6424
78	548	6399
79	553	6370
80	559	6342
81	564	6315
82	568	6282
83	573	6255
84	578	6227
85	583	6199
86	588	6174
87	593	6146
88	598	6122
89	602	6094
90	607	6072
91	613	6051
92	617	6026
93	623	6005
94	628	5987
95	632	5960
96	637	5936
97	642	5915
98	647	5894
99	653	5880
100	659	5867
101	663	5844
102	668	5819
103	673	5801
104	678	5781
105	682	5758
106	687	5740
107	692	5718
108	697	5697
109	702	5684
110	708	5670
111	712	5650
112	717	5632
113	722	5614
114	727	5599
115	732	5584
116	737	5567
117	742	5553
118	747	5536
119	752	5520
120	757	5505
121	762	5487
122	767	5475
123	772	5457
124	777	5440
125	781	5422
126	786	5407
127	791	5391
128	795	5373
129	801	5363
130	806	5348
131	810	5332
132	815	5318
133	820	5302
134	825	5290
135	830	5273
136	835	5262
137	840	5248
138	844	5232
139	849	5216
140	854	5202
141	858	5188
142	863	5174
143	868	5161
144	873	5148
145	877	5133
146	882	5119
147	886	5105
148	891	5091
149	896	5078
150	901	5069
151	906	5059
152	912	5050
153	917	5039
154	922	5027
155	926	5014
156	932	5004
157	937	4997
158	944	4995
159	950	4990
160	956	4984
161	961	4975
162	966	4963
163	971	4951
164	975	4938
165	981	4929
166	986	4918
167	991	4908
168	997	4902
169	1002	4893
170	1007	4883
171	1012	4873
172	1016	4861
173	1021	4848
174	1026	4837
175	1031	4830
176	1037	4825
177	1043	4817
178	1049	4811
179	1054	4803
180	1059	4795
181	1064	4786
182	1070	4780
183	1075	4771
184	1081	4764
185	1086	4755
186	1091	4746
187	1097	4740
188	1102	4731
189	1108	4723
190	1113	4718
191	1119	4711
192	1125	4704
193	1130	4698
194	1136	4690
195	1142	4684
196	1147	4675
197	1151	4665
198	1156	4655
199	1161	4645
200	1166	4635
201	1170	4623
202	1175	4615
203	1180	4607
204	1185	4596
205	1190	4587
206	1195	4578
207	1199	4567
208	1205	4561
209	1210	4553
210	1214	4542
211	1219	4532
212	1224	4524
213	1229	4514
214	1233	4505
215	1239	4499
216	1244	4489
217	1248	4479
218	1253	4469
219	1258	4463
220	1263	4453
221	1267	4442
222	1273	4437
223	1277	4427
224	1282	4417
225	1287	4411
226	1292	4401
227	1296	4390
228	1301	4382
229	1306	4373
230	1310	4363
231	1315	4354
232	1320	4348
233	1325	4339
234	1330	4330
235	1335	4323
236	1340	4314
237	1344	4305
238	1349	4297
239	1354	4290
240	1359	4280
241	1363	4270
242	1368	4262
243	1373	4255
244	1377	4245
245	1382	4236
246	1387	4229
247	1392	4220
248	1396	4211
249	1401	4205
250	1406	4197
251	1411	4188
252	1416	4181
253	1421	4173
254	1425	4164
255	1430	4156
256	1435	4150
257	1440	4141
258	1444	4132
259	1449	4125
260	1454	4117
261	1458	4108
262	1464	4103
263	1468	4095
264	1474	4089
265	1478	4081
266	1483	4073
267	1489	4068
268	1494	4061
269	1499	4054
270	1504	4047
271	1509	4039
272	1514	4033
273	1519	4026
274	1524	4018
275	1529	4011
276	1534	4005
277	1539	3997
278	1543	3989
279	1548	3982
280	1553	3975
281	1558	3968
282	1564	3963
283	1569	3958
284	1574	3949
285	1579	3942
286	1584	3937
287	1589	3930
288	1594	3922
289	1599	3915
290	1604	3909
291	1609	3902
292	1614	3896
293	1619	3889
294	1624	3881
295	1629	3875
296	1634	3868
297	1638	3860
298	1643	3853
299	1648	3847
300	1653	3839
301	1657	3831
302	1663	3825
303	1668	3819
304	1672	3812
305	1678	3805
306	1682	3798
307	1687	3790
308	1691	3783
309	1696	3776
310	1701	3769
311	1706	3762
312	1710	3755
313	1715	3748
314	1720	3741
315	1725	3734
316	1730	3728
317	1735	3721
318	1740	3714
319	1745	3708
320	1749	3701
321	1754	3694
322	1759	3688
323	1764	3682
324	1769	3675
325	1774	3668
326	1779	3662
327	1784	3655
328	1789	3649
329	1794	3642
330	1799	3636
331	1803	3629
332	1808	3622
333	1814	3617
334	1818	3609
335	1823	3603
336	1828	3597
337	1833	3590
338	1837	3583
339	1842	3577
340	1847	3570
341	1852	3564
342	1857	3557
343	1862	3551
344	1866	3544
345	1872	3538
346	1877	3532
347	1882	3526
348	1887	3521
349	1893	3516
350	1898	3510
351	1903	3504
352	1908	3498
353	1913	3491
354	1918	3485
355	1923	3479
356	1928	3473
357	1932	3466
358	1938	3461
359	1943	3455
360	1948	3448
361	1953	3442
362	1957	3435
363	1962	3428
364	1966	3421
365	1971	3415
366	1976	3409
367	1981	3402
368	1986	3396
369	1991	3391
370	1997	3386
371	2003	3381
372	2008	3376
373	2013	3370
374	2018	3364
375	2023	3358
376	2027	3351
377	2032	3344
378	2037	3337
379	2041	3331
380	2046	3325
381	2052	3320
382	2056	3313
383	2061	3306
384	2066	3301
385	2071	3295
386	2075	3288
387	2081	3282
388	2085	3276
389	2090	3269
390	2094	3262
391	2100	3258
392	2105	3251
393	2109	3245
394	2115	3240
395	2120	3233
396	2124	3226
397	2129	3220
398	2133	3214
399	2138	3207
400	2142	3200
401	2147	3194
402	2152	3188
403	2156	3181
404	2161	3175
405	2166	3169
406	2170	3162
407	2174	3155
408	2180	3150
409	2184	3144
410	2189	3137
411	2194	3131
412	2199	3126
413	2204	3119
414	2208	3113
415	2214	3109
416	2219	3102
417	2223	3096
418	2228	3090
419	2233	3084
420	2237	3077
421	2242	3071
422	2247	3065
423	2251	3059
424	2256	3052
425	2261	3046
426	2265	3040
427	2269	3033
428	2274	3027
429	2279	3022
430	2284	3015
431	2288	3009
432	2293	3003
433	2298	2997
434	2302	2991
435	2307	2985
436	2313	2981
437	2319	2975
438	2323	2969
439	2328	2963
440	2333	2957
441	2337	2951
442	2343	2946
443	2347	2940
444	2352	2933
445	2357	2927
446	2361	2921
447	2365	2915
448	2370	2908
449	2375	2903
450	2380	2897
451	2385	2891
452	2390	2886
453	2394	2880
454	2399	2873
455	2404	2868
456	2409	2863
457	2414	2857
458	2419	2851
459	2424	2846
460	2429	2840
461	2433	2833
462	2438	2828
463	2443	2822
464	2447	2816
465	2452	2809
466	2457	2804
467	2461	2798
468	2466	2792
469	2471	2787
470	2476	2781
471	2480	2775
472	2485	2769
473	2490	2763
474	2494	2757
475	2499	2751
476	2504	2745
477	2509	2740
478	2513	2734
479	2518	2728
480	2523	2722
481	2528	2717
482	2532	2710
483	2537	2705
484	2542	2699
485	2546	2693
486	2551	2687
487	2556	2682
488	2560	2675
489	2565	2670
490	2570	2664
491	2575	2659
492	2579	2652
493	2584	2647
494	2589	2641
495	2593	2635
496	2598	2629
497	2603	2624
498	2607	2618
499	2612	2612
500	2617	2606
501	2622	2601
502	2628	2597
503	2634	2592
504	2639	2587
505	2644	2582
506	2651	2578
507	2657	2573
508	2662	2568
509	2668	2563
510	2673	2558
511	2677	2552
512	2683	2547
513	2688	2541
514	2693	2536
515	2700	2532
516	2705	2527
517	2710	2522
518	2717	2518
519	2722	2512
520	2726	2506
521	2732	2502
522	2738	2497
523	2742	2491
524	2748	2486
525	2753	2480
526	2758	2475
527	2764	2471
528	2769	2465
529	2774	2460
530	2780	2455
531	2785	2450
532	2789	2444
533	2795	2439
534	2800	2434
535	2806	2429
536	2811	2424
537	2816	2418
538	2820	2412
539	2824	2406
540	2831	2402
541	2836	2397
542	2841	2391
543	2848	2387
544	2852	2381
545	2857	2376
546	2863	2371
547	2868	2366
548	2873	2360
549	2880	2356
550	2885	2351
551	2890	2346
552	2896	2341
553	2901	2335
554	2906	2330
555	2912	2325
556	2916	2319
557	2921	2314
558	2927	2309
559	2932	2304
560	2937	2298
561	2942	2293
562	2948	2288
563	2953	2282
564	2959	2278
565	2964	2273
566	2969	2267
567	2974	2262
568	2979	2257
569	2984	2251
570	2989	2246
571	2995	2241
572	3001	2236
573	3007	2232
574	3012	2226
575	3018	2221
576	3023	2216
577	3028	2211
578	3033	2205
579	3039	2200
580	3044	2195
581	3049	2190
582	3054	2184
583	3059	2179
584	3064	2174
585	3069	2168
586	3075	2163
587	3081	2158
588	3085	2153
589	3091	2148
590	3096	2143
591	3101	2137
592	3108	2133
593	3112	2127
594	3117	2122
595	3123	2117
596	3128	2111
597	3134	2106
598	3139	2101
599	3144	2096
600	3149	2091
601	3155	2086
602	3160	2080
603	3165	2075
604	3171	2070
605	3175	2064
606	3180	2059
607	3185	2053
608	3191	2048
609	3195	2043
610	3201	2038
611	3207	2033
612	3212	2028
613	3218	2023
614	3223	2018
615	3228	2012
616	3234	2007
617	3238	2002
618	3244	1996
619	3249	1991
620	3255	1986
621	3260	1981
622	3265	1976
623	3271	1971
624	3277	1966
625	3282	1961
626	3287	1955
627	3292	1950
628	3297	1944
629	3303	1939
630	3307	1934
631	3312	1928
632	3317	1923
633	3322	1918
634	3327	1912
635	3333	1908
636	3338	1902
637	3343	1896
638	3349	1892
639	3354	1887
640	3360	1882
641	3366	1877
642	3371	1871
643	3376	1866
644	3382	1861
645	3387	1856
646	3392	1850
647	3397	1845
648	3402	1840
649	3407	1834
650	3412	1829
651	3417	1824
652	3423	1818
653	3427	1813
654	3433	1808
655	3438	1803
656	3443	1797
657	3449	1793
658	3455	1787
659	3459	1782
660	3465	1777
661	3471	1772
662	3475	1766
663	3482	1762
664	3487	1757
665	3492	1751
666	3498	1746
667	3503	1741
668	3507	1735
669	3513	1730
670	3519	1725
671	3523	1720
672	3529	1715
673	3534	1709
674	3540	1704
675	3545	1699
676	3550	1694
677	3556	1688
678	3562	1684
679	3567	1678
680	3573	1673
681	3578	1668
682	3583	1663
683	3588	1657
684	3594	1652
685	3599	1647
686	3603	1641
687	3609	1636
688	3614	1631
689	3618	1625
690	3624	1620
691	3630	1615
692	3635	1610
693	3640	1605
694	3646	1600
695	3650	1594
696	3656	1589
697	3662	1584
698	3666	1579
699	3671	1573
700	3678	1569
701	3684	1563
702	3688	1558
703	3694	1553
704	3700	1548
705	3706	1543
706	3711	1538
707	3716	1532
708	3722	1527
709	3727	1522
710	3732	1517
711	3738	1512
712	3744	1507
713	3750	1502
714	3756	1497
715	3762	1492
716	3767	1487
717	3774	1482
718	3779	1477
719	3785	1472
720	3791	1467
721	3796	1461
722	3802	1456
723	3807	1451
724	3812	1446
725	3817	1440
726	3823	1435
727	3828	1430
728	3834	1425
729	3840	1420
730	3845	1415
731	3852	1410
732	3858	1405
733	3863	1400
734	3870	1395
735	3876	1390
736	3882	1385
737	3890	1381
738	3895	1375
739	3902	1371
740	3907	1365
741	3913	1360
742	3920	1356
743	3926	1351
744	3932	1346
745	3938	1340
746	3943	1335
747	3950	1331
748	3958	1326
749	3964	1321
750	3970	1316
751	3976	1311
752	3982	1306
753	3988	1301
754	3995	1296
755	4002	1291
756	4008	1286
757	4014	1281
758	4021	1276
759	4028	1272
760	4035	1267
761	4040	1262
762	4045	1256
763	4051	1251
764	4056	1246
765	4061	1240
766	4068	1235
767	4073	1230
768	4078	1225
769	4084	1220
770	4090	1214
771	4096	1209
772	4102	1204
773	4107	1199
774	4113	1194
775	4118	1188
776	4123	1183
777	4129	1178
778	4134	1172
779	4139	1167
780	4144	1162
781	4148	1156
782	4154	1151
783	4159	1146
784	4164	1140
785	4170	1135
786	4175	1130
787	4180	1124
788	4186	1119
789	4191	1114
790	4197	1109
791	4203	1103
792	4208	1098
793	4213	1093
794	4218	1087
795	4223	1082
796	4229	1077
797	4235	1072
798	4240	1066
799	4246	1061
800	4251	1056
801	4255	1050
802	4261	1045
803	4266	1040
804	4271	1034
805	4278	1029
806	4285	1024
807	4290	1019
808	4295	1014
809	4302	1009
810	4307	1003
811	4312	998
812	4317	993
813	4322	987
814	4328	982
815	4334	977
816	4340	972
817	4346	967
818	4351	961
819	4357	956
820	4363	951
821	4368	945
822	4373	940
823	4379	935
824	4384	930
825	4390	924
826	4395	919
827	4400	914
828	4406	908
829	4412	903
830	4417	898
831	4423	893
832	4429	887
833	4433	882
834	4439	877
835	4444	871
836	4448	866
837	4453	860
838	4459	855
839	4464	850
840	4469	845
841	4474	839
842	4479	834
843	4485	829
844	4490	823
845	4496	818
846	4501	813
847	4507	807
848	4513	802
849	4518	797
850	4523	792
851	4528	786
852	4534	781
853	4539	776
854	4544	770
855	4549	765
856	4555	760
857	4561	754
858	4566	749
859	4571	744
860	4576	738
861	4582	733
862	4587	728
863	4592	722
864	4598	717
865	4603	712
866	4609	707
867	4615	701
868	4621	696
869	4628	691
870	4634	686
871	4640	681
872	4645	675
873	4652	670
874	4657	665
875	4663	660
876	4672	655
877	4677	649
878	4684	644
879	4690	639
880	4696	634
881	4702	629
882	4708	623
883	4715	618
884	4720	613
885	4726	608
886	4731	602
887	4737	597
888	4742	592
889	4748	586
890	4753	581
891	4758	576
892	4763	570
893	4769	565
894	4774	560
895	4779	554
896	4785	549
897	4790	544
898	4795	538
899	4801	533
900	4805	528
901	4811	522
902	4817	517
903	4822	512
904	4827	506
905	4832	501
906	4837	496
907	4842	490
908	4847	485
909	4853	480
910	4858	474
911	4863	469
912	4870	464
913	4876	458
914	4881	453
915	4886	448
916	4891	442
917	4896	437
918	4902	432
919	4907	426
920	4911	421
921	4917	416
922	4922	410
923	4927	405
924	4933	400
925	4939	394
926	4946	389
927	4951	384
928	4956	378
929	4962	373
930	4968	368
931	4975	363
932	4981	357
933	4986	352
934	4994	347
935	4999	341
936	5004	336
937	5010	331
938	5016	325
939	5022	320
940	5029	315
941	5036	310
942	5043	304
943	5048	299
944	5054	294
945	5061	288
946	5068	283
947	5073	278
948	5080	273
949	5085	267
950	5090	262
951	5096	256
952	5101	251
953	5106	246
954	5112	240
955	5117	235
956	5122	230
957	5127	224
958	5133	219
959	5138	214
960	5144	208
961	5149	203
962	5154	198
963	5161	192
964	5166	187
965	5171	182
966	5177	176
967	5182	171
968	5187	165
969	5193	160
970	5198	155
971	5203	149
972	5209	144
973	5214	139
974	5220	133
975	5225	128
976	5230	123
977	5236	117
978	5241	112
979	5247	107
980	5253	101
981	5259	96
982	5264	91
983	5270	85
984	5278	80
985	5285	75
986	5292	69
987	5299	64
988	5307	59
989	5312	53
990	5319	48
991	5326	42
992	5334	37
993	5341	32
994	5346	26
995	5352	21
996	5359	16
